"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Motavita","2024","Contratación régimen especial (con ofertas)","7","1465084259.65"
"San Luis De Gaceno","2024","Contratación directa","1","150000000"
"Tasco","2023","Mínima cuantía","8","145001426.51"
"Villa De Leyva","2025","Licitación pública","1","545000000"
"Chiquinquirá","2026","Selección Abreviada de Menor Cuantía","9","1982747804.90"
"Duitama","2023","Contratación régimen especial (con ofertas)","9","10334255789"
"Berbeo","2025","Contratación directa","63","1626066476.83"
"Sativanorte","2024","Contratación directa","77","1774287666.24"
"Motavita","2025","Contratación Directa (con ofertas)","2","180246605.6"
"Tunja","2020","Mínima cuantía","251","8991584771.92"
"Cubará","2023","Selección abreviada subasta inversa","1","451680000"
"Cuítiva","2024","Mínima cuantía","1","2608000"
"Villa De Leyva","2022","Contratación directa","144","2779934119.32"
"Duitama","2022","Mínima cuantía","138","3247143384.25"
"Puerto Boyacá","2024","Licitación pública","10","24125054500.23"
"Boavita","2025","Selección abreviada subasta inversa","1","232560000"
"Tunja","2018","Mínima cuantía","98","6229612412.27"
"Moniquirá","2025","Selección abreviada subasta inversa","7","2981583031"
"Monguí","2026","Contratación régimen especial (con ofertas)","5","1500451260.86"
"Berbeo","2025","Mínima cuantía","43","985965509.45"
"Sutamarchán","2025","Selección Abreviada de Menor Cuantía","3","785797057.45"
"Paipa","2024","Selección abreviada subasta inversa","1","50565900"
"Saboyá","2018","Contratación régimen especial","1","3000000"
"Somondoco","2023","Contratación régimen especial (con ofertas)","7","886767262.50"
"Chiquinquirá","2026","Contratación régimen especial (con ofertas)","10","10512946304.75"
"Chiquinquirá","2021","Mínima cuantía","44","562250772.92"
"Gachantivá","2024","Mínima cuantía","32","743503222.52"
"Chitaraque","2024","Selección Abreviada de Menor Cuantía","8","1676218259.09"
"Duitama","2020","Contratación directa","161","4879922740"
"Boavita","2018","Contratación régimen especial","1","190066650"
"Turmequé","2025","Contratación régimen especial (con ofertas)","7","15685521638.55"
"Gachantivá","2023","Mínima cuantía","10","177656302"
"Chiquinquirá","2026","Mínima cuantía","56","1596086471.34"
"Tuta","2024","Contratación directa","168","2446149961.82"
"Tunja","2022","Selección abreviada subasta inversa","58","26262507429.65"
"Chitaraque","2024","Contratación directa","115","1601509436.85"
"Socotá","2026","Mínima cuantía","29","1061428017.79"
"Villa De Leyva","2018","Contratación régimen especial (con ofertas)","1","236000000"
"Pisba","2025","Selección Abreviada de Menor Cuantía","2","515035880.61"
"Maripí","2024","Licitación pública","1","606140400"
"No Definido","2025","Licitación pública","1","1647628709.26"
"Soatá","2025","Concurso de méritos abierto","1","86100000"
"Briceño","2023","Contratación directa","7","25924182"
"Duitama","2026","Selección Abreviada de Menor Cuantía","8","4023951607.25"
"Sutamarchán","2024","Selección abreviada subasta inversa","1","94047575"
"Boavita","2019","Contratación régimen especial (con ofertas)","2","597532290"
"Sutatenza","2022","Contratación régimen especial (con ofertas)","1","35984550"
"Motavita","2019","Contratación régimen especial","1","62350000"
"San Miguel De Sema","2023","Contratación régimen especial (con ofertas)","1","180000000"
"Oicatá","2025","Contratación régimen especial (con ofertas)","6","660244645"
"Tasco","2024","Selección abreviada subasta inversa","4","425554000"
"Quípama","2022","Contratación directa","1","5000000000"
"Guayatá","2026","Mínima cuantía","1","1570800"
"Puerto Boyacá","2022","Mínima cuantía","155","2869362196.5"
"Tinjacá","2025","Contratación Directa (con ofertas)","2","225259090"
"Muzo","2024","Contratación régimen especial (con ofertas)","5","1820911675.58"
"La Uvita","2026","Contratación régimen especial (con ofertas)","9","1195921225"
"Tipacoque","2023","Selección Abreviada de Menor Cuantía","1","59999793.13"
"Tibasosa","2020","Contratación régimen especial","11","1613444595.02"
"San Mateo","2023","Selección Abreviada de Menor Cuantía","1","38966086.8"
"Soatá","2024","Selección Abreviada de Menor Cuantía","4","748634938.57"
"Duitama","2019","Contratación régimen especial","1","49200000"
"Duitama","2022","Concurso de méritos abierto","4","2048131778"
"Tota","2022","Contratación régimen especial (con ofertas)","5","529973231.63"
"Tunja","2019","Mínima cuantía","158","6117935502.72"
"Sativanorte","2023","Contratación directa","2","5750000"
"Sora","2025","Contratación Directa (con ofertas)","3","156291180.4"
"Pisba","2024","Contratación Directa (con ofertas)","8","181297553.38"
"Paipa","2025","Contratación directa","89","853878840.97"
"Betéitiva","2024","Contratación régimen especial","1","33000000"
"Macanal","2024","Concurso de méritos abierto","1","147840730.52"
"Sativasur","2026","Mínima cuantía","15","322154743"
"No Definido","2018","Selección abreviada subasta inversa","1","127335746.49"
"Pisba","2025","Contratación Directa (con ofertas)","1","249999920"
"Monguí","2026","Contratación Directa (con ofertas)","1","123309229"
"Chiquinquirá","2024","Contratación directa","459","12221448784.60"
"Panqueba","2022","Mínima cuantía","1","20905000"
"Sativasur","2025","Selección Abreviada de Menor Cuantía","3","725553258"
"Sotaquirá","2024","Contratación régimen especial (con ofertas)","10","2311702761.20"
"San Mateo","2026","Contratación directa","38","966665993"
"Tota","2026","Selección abreviada subasta inversa","1","240000000"
"Garagoa","2024","Selección Abreviada de Menor Cuantía","3","428058581"
"Guateque","2024","Contratación régimen especial (con ofertas)","28","3346681177"
"Tunja","2020","Licitación pública","6","15978523921.5"
"Samacá","2024","Contratación régimen especial (con ofertas)","15","4373496676.96"
"Tópaga","2022","Contratación directa","3","8900000"
"San Eduardo","2025","Selección Abreviada de Menor Cuantía","7","1406612212.52"
"Pesca","2026","Contratación régimen especial","68","1350038215"
"Cubará","2023","Contratación Directa (con ofertas)","6","41491135"
"Tinjacá","2023","Contratación régimen especial","18","90521793"
"Togüí","2023","Contratación régimen especial (con ofertas)","6","670905932"
"Pauna","2021","Contratación régimen especial","1","20000000"
"Caldas","2023","Contratación régimen especial (con ofertas)","3","377634927.65"
"Chita","2024","Selección abreviada subasta inversa","1","115300000"
"Paz De Río","2025","Contratación régimen especial (con ofertas)","4","1082405836"
"Garagoa","2025","Licitación pública Obra Publica","1","796020159.96"
"Aquitania","2025","Contratación directa","134","5015637867.8"
"Muzo","2025","Contratación Directa (con ofertas)","1","6000000"
"Saboyá","2025","Contratación directa","1","6000000"
"Nobsa","2026","Concurso de méritos abierto","2","225030564"
"Tunja","2021","Concurso de méritos abierto","4","1179256707"
"Chinavita","2024","Contratación directa","1","500000000"
"Arcabuco","2024","Contratación régimen especial","6","47011717"
"Berbeo","2026","Mínima cuantía","27","730237733.11"
"Floresta","2026","Contratación régimen especial (con ofertas)","4","769242938.47"
"Briceño","2025","Contratación Directa (con ofertas)","6","2522465034.6"
"Susacón","2022","Contratación régimen especial (con ofertas)","3","379638752.2"
"Miraflores","2022","Contratación directa","2","110000000"
"Nuevo Colón","2024","Selección Abreviada de Menor Cuantía","9","2500096778.35"
"Cucaita","2025","Selección abreviada subasta inversa","3","175312361"
"Chita","2026","Selección abreviada subasta inversa","4","674830950"
"Soatá","2025","Mínima cuantía","36","871175090.25"
"Chita","2026","Contratación régimen especial (con ofertas)","3","2221201459.03"
"Paipa","2025","Selección abreviada subasta inversa","1","46570800"
"Paz De Río","2025","Selección Abreviada de Menor Cuantía","8","1048637048.69"
"Ramiriquí","2023","Licitación pública Obra Publica","1","1565823189.64"
"Soatá","2024","Contratación régimen especial","3","234687000"
"San Pablo De Borbur","2026","Mínima cuantía","33","902773899"
"Aquitania","2024","Concurso de méritos abierto","3","305571000"
"Duitama","2020","Enajenación de bienes con sobre cerrado","1","9000000"
"Corrales","2025","Selección Abreviada de Menor Cuantía","1","412975900"
"Floresta","2025","Mínima cuantía","16","408706941.59"
"Guayatá","2026","Contratación directa","1","5000000"
"Garagoa","2026","Selección Abreviada de Menor Cuantía","5","936909102"
"Corrales","2017","Contratación régimen especial (con ofertas)","2","152000000"
"No Definido","2022","Contratación régimen especial","38","1688068453.31"
"Monguí","2025","Contratación Directa (con ofertas)","4","2004467617.67"
"Tibasosa","2023","Contratación directa","203","13115821049.24"
"Caldas","2026","Contratación directa","65","1089590519.67"
"Berbeo","2024","Contratación directa","69","1204723122.33"
"Sogamoso","2026","Mínima cuantía","130","5177464335.56"
"Samacá","2023","Contratación directa","16","764238970"
"Duitama","2023","Contratación Directa (con ofertas)","10","1452527481"
"Villa De Leyva","2021","Licitación pública Obra Publica","3","2150879721.14"
"Chita","2022","Contratación régimen especial (con ofertas)","2","886509212"
"Santana","2025","Mínima cuantía","48","1099797549.04"
"No Definido","2020","Contratación directa","2","43771296"
"Tasco","2022","Selección Abreviada de Menor Cuantía","1","54000000"
"Sutamarchán","2024","Contratación régimen especial (con ofertas)","6","1480989558.56"
"Cubará","2025","Mínima cuantía","1","25067600"
"Sogamoso","2023","Licitación pública Obra Publica","10","34170599206.31"
"Tunja","2021","Mínima cuantía","337","10648147882.17"
"Susacón","2023","Mínima cuantía","5","58668194.97"
"Sogamoso","2021","Contratación régimen especial (con ofertas)","2","40000000"
"Susacón","2025","Concurso de méritos abierto","1","50000000"
"Socotá","2025","Contratación directa","168","3373931060.39"
"Tuta","2018","Contratación régimen especial","2","461227200"
"Duitama","2023","Licitación pública","6","17771692649"
"Villa De Leyva","2024","Selección Abreviada de Menor Cuantía","6","957183460.9"
"Santa María","2023","Selección abreviada subasta inversa","2","222852174"
"Maripí","2024","Contratación régimen especial (con ofertas)","9","2267878943.00"
"La Uvita","2026","Contratación directa","92","1503051440.19"
"Saboyá","2023","Contratación régimen especial","17","222568421"
"Nobsa","2026","Contratación régimen especial (con ofertas)","10","7766839325.43"
"Cubará","2025","Contratación directa","3","44550000"
"Tota","2021","Contratación régimen especial","3","1200010"
"Tipacoque","2024","Contratación directa","1","33750000"
"Togüí","2023","Contratación régimen especial","1","1091619"
"Tibasosa","2026","Mínima cuantía","37","1023664799.93"
"Aquitania","2024","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","421956450"
"Somondoco","2025","Mínima cuantía","47","1030304250.72"
"Nobsa","2025","Mínima cuantía","60","1638812446.65"
"Ramiriquí","2025","Selección Abreviada de Menor Cuantía","15","2910001698.64"
"Susacón","2026","Contratación directa","49","1054380238.15"
"Nuevo Colón","2026","Mínima cuantía","32","1002289991.76"
"Duitama","2020","Selección Abreviada de Menor Cuantía","5","1408719552"
"Firavitoba","2024","Contratación directa","100","1410371148"
"Corrales","2025","Contratación régimen especial (con ofertas)","8","1460044764"
"Nuevo Colón","2026","Contratación directa","76","1447999642.80"
"Tunja","2023","Contratación régimen especial","693","123965210262.61"
"Tibasosa","2024","Concurso de méritos abierto","1","99999700"
"Coper","2023","Contratación régimen especial (con ofertas)","3","289909244.98"
"No Definido","2025","Licitación pública Obra Publica","6","3719174505.49"
"Corrales","2023","Contratación directa","7","82080000"
"Miraflores","2024","Contratación régimen especial","30","866358062"
"Pisba","2023","Contratación régimen especial (con ofertas)","5","1088573405.46"
"Quípama","2026","Contratación régimen especial (con ofertas)","4","2287649730.46"
"Garagoa","2024","Licitación pública","1","150000000"
"No Definido","2021","Selección abreviada subasta inversa","16","2952241035.45"
"Moniquirá","2026","Concurso de méritos abierto","2","575970089"
"Santana","2018","Contratación régimen especial (con ofertas)","3","496245975"
"Villa De Leyva","2022","Selección abreviada subasta inversa","6","855359841.52"
"Boavita","2024","Licitación pública Obra Publica","1","387400795"
"Miraflores","2026","Selección abreviada subasta inversa","4","1077961789.87"
"Ramiriquí","2026","Contratación régimen especial","4","173981000"
"Ráquira","2022","Contratación régimen especial (con ofertas)","2","651148845"
"San Eduardo","2025","Contratación Directa (con ofertas)","1","21423675.06"
